customer_id,customer_name,total_rentals,unique_films_rented,unique_categories_rented,rental_frequency,late_return_rate,total_spent,new_films_rented,cluster
1,MARY SMITH,32,30,14,2.7813,0.4063,118.68,32,2
2,PATRICIA JOHNSON,27,27,13,3.2593,0.5556,128.73,27,0
3,LINDA WILLIAMS,26,26,13,3.3846,0.6923,135.74,26,0
4,BARBARA JONES,22,22,14,3.1364,0.4091,81.78,22,3
5,ELIZABETH BROWN,38,38,15,6.8684,0.5263,144.62,38,2
6,JENNIFER DAVIS,28,26,13,3.2143,0.5714,93.72,28,0
7,MARIA MILLER,33,32,14,2.6667,0.6061,151.67,33,2
8,SUSAN WILSON,24,23,12,3.5417,0.3333,92.76,24,3
9,MARGARET MOORE,23,23,11,11.4348,0.3478,89.77,23,1
10,DOROTHY TAYLOR,25,25,13,3.3200,0.6400,99.75,25,0
11,LISA ANDERSON,24,24,12,10.8333,0.5833,106.76,24,1
12,NANCY THOMAS,28,27,12,3.0357,0.4643,103.72,28,0
13,KAREN JACKSON,27,27,11,2.4444,0.4444,131.73,27,0
14,BETTY WHITE,28,28,13,9.4286,0.5000,117.72,28,1
15,HELEN HARRIS,32,30,13,7.5313,0.4688,134.68,32,2
16,SANDRA MARTIN,28,28,13,3.0714,0.5357,118.72,28,0
17,DONNA THOMPSON,21,21,9,4.2381,0.4762,98.79,21,3
18,CAROL GARCIA,22,21,14,3.9545,0.3636,91.78,22,3
19,RUTH MARTINEZ,24,23,12,3.7500,0.5417,125.76,24,0
20,SHARON ROBINSON,30,30,14,2.9667,0.5667,115.70,30,0
21,MICHELLE CLARK,35,33,15,7.5429,0.5714,155.65,35,2
22,LAURA RODRIGUEZ,22,22,12,11.9545,0.5909,113.78,22,1
23,SARAH LEWIS,30,29,12,8.8333,0.5667,119.70,30,1
24,KIMBERLY LEE,25,25,14,3.3200,0.4000,95.75,25,0
25,DEBORAH WALKER,29,29,14,3.1034,0.3793,115.71,29,0
